no,tanggal,jam,cuaca,suhu,,
683,29,11,1,,,
684,29,12,2,,,
685,29,13,2,,,
686,29,14,1,,,
687,29,15,2,,,
688,29,16,2,,,
689,29,17,2,,,
690,29,18,2,,,
691,29,19,2,,,
692,29,20,2,,,
693,29,21,2,,,
694,29,22,2,,,
695,29,23,2,,,
696,29,24,2,,,
